LEXICAL ANALYSIS REPORT
=======================
Line: 2     Token: 	 CLASS                 Lexeme: 	class
Line: 12    Token: 	 ASSIGN_OP             Lexeme: 	:=
Line: 12    Token: 	 ID                    Lexeme: 	x
Line: 12    Token: 	 +                     Lexeme: 	+
Line: 12    Token: 	 ID                    Lexeme: 	y
Line: 12    Token: 	 ;                     Lexeme: 	;
Line: 14    Token: 	 ID                    Lexeme: 	b
Line: 14    Token: 	 ASSIGN_OP             Lexeme: 	:=
Line: 14    Token: 	 ID                    Lexeme: 	a
Line: 14    Token: 	 *                     Lexeme: 	*
Line: 14    Token: 	 LITERAL_INTEGER       Lexeme: 	10
Line: 14    Token: 	 ;                     Lexeme: 	;
Line: 15    Token: 	 RETURN                Lexeme: 	return
Line: 15    Token: 	 (                     Lexeme: 	(
Line: 15    Token: 	 ID                    Lexeme: 	b
Line: 15    Token: 	 )                     Lexeme: 	)
Line: 15    Token: 	 ;                     Lexeme: 	;
Line: 19    Token: 	 }                     Lexeme: 	}
Line: 21    Token: 	 FUNC                  Lexeme: 	func
Line: 21    Token: 	 ID                    Lexeme: 	main
Line: 21    Token: 	 (                     Lexeme: 	(
Line: 21    Token: 	 )                     Lexeme: 	)
Line: 21    Token: 	 ARROW_OP              Lexeme: 	=>
Line: 21    Token: 	 VOID                  Lexeme: 	void
Line: 21    Token: 	 {                     Lexeme: 	{
Line: 22    Token: 	 LOCAL                 Lexeme: 	local
Line: 22    Token: 	 ID                    Lexeme: 	a
Line: 22    Token: 	 :                     Lexeme: 	:
Line: 22    Token: 	 INTEGER               Lexeme: 	integer
Line: 22    Token: 	 ;                     Lexeme: 	;
Line: 23    Token: 	 LOCAL                 Lexeme: 	local
Line: 23    Token: 	 ID                    Lexeme: 	b
Line: 23    Token: 	 :                     Lexeme: 	:
Line: 23    Token: 	 INTEGER               Lexeme: 	integer
Line: 23    Token: 	 ;                     Lexeme: 	;
Line: 24    Token: 	 LOCAL                 Lexeme: 	local
Line: 24    Token: 	 ID                    Lexeme: 	result
Line: 24    Token: 	 :                     Lexeme: 	:
Line: 24    Token: 	 INTEGER               Lexeme: 	integer
Line: 24    Token: 	 ;                     Lexeme: 	;
Line: 25    Token: 	 LOCAL                 Lexeme: 	local
Line: 25    Token: 	 ID                    Lexeme: 	f
Line: 25    Token: 	 :                     Lexeme: 	:
Line: 25    Token: 	 FLOAT                 Lexeme: 	float
Line: 25    Token: 	 ;                     Lexeme: 	;
Line: 27    Token: 	 ID                    Lexeme: 	a
Line: 27    Token: 	 ASSIGN_OP             Lexeme: 	:=
Line: 27    Token: 	 LITERAL_INTEGER       Lexeme: 	15
Line: 27    Token: 	 ;                     Lexeme: 	;
Line: 28    Token: 	 ID                    Lexeme: 	b
Line: 28    Token: 	 ASSIGN_OP             Lexeme: 	:=
Line: 28    Token: 	 LITERAL_INTEGER       Lexeme: 	42
Line: 28    Token: 	 ;                     Lexeme: 	;
Line: 34    Token: 	 WRITE                 Lexeme: 	write
Line: 34    Token: 	 (                     Lexeme: 	(
Line: 34    Token: 	 ID                    Lexeme: 	calculate
Line: 34    Token: 	 (                     Lexeme: 	(
Line: 34    Token: 	 ID                    Lexeme: 	a
Line: 34    Token: 	 ,                     Lexeme: 	,
Line: 34    Token: 	 ID                    Lexeme: 	b
Line: 34    Token: 	 )                     Lexeme: 	)
Line: 34    Token: 	 )                     Lexeme: 	)
Line: 34    Token: 	 ;                     Lexeme: 	;
Line: 35    Token: 	 RETURN                Lexeme: 	return
Line: 35    Token: 	 (                     Lexeme: 	(
Line: 35    Token: 	 ID                    Lexeme: 	f
Line: 35    Token: 	 )                     Lexeme: 	)
Line: 35    Token: 	 ;                     Lexeme: 	;
Line: 36    Token: 	 }                     Lexeme: 	}

Lexical Analysis Complete.
